team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
Buccaneers,TB,5,MLB,551028250,Jaylen Merritt,2,0,10354,6,12,58.00,13,2,1,0,0,0,0.00,0,0,55.00
Buccaneers,TB,5,LE,551028000,Brennan Jackson,3,0,10115,97,5,13.00,1,0,0,0,0,0,2.50,0,0,8.00
Buccaneers,TB,5,DT,551026988,Jowon Briggs,3,0,0,98,2,3.00,0,0,0,0,0,0,0.50,0,0,2.00
Buccaneers,TB,5,CB,551028865,Joey Porter,4,0,2358,13,10,22.00,6,1,0,0,2,18,0.00,0,0,16.00
Buccaneers,TB,5,SS,551028398,Marte Mapu,4,0,4670,0,13,67.00,21,4,0,0,6,86,0.50,0,0,48.00
Buccaneers,TB,5,FS,551027218,Bryan Cook,5,0,1303,23,6,11.00,1,1,0,0,1,12,0.00,0,0,8.00
Buccaneers,TB,5,CB,551029637,Joshua Williams,5,0,2034,27,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Buccaneers,TB,5,LE,551027743,Logan Hall,5,0,1750,94,5,8.00,0,0,0,0,0,0,2.50,0,0,3.00
Buccaneers,TB,5,LOLB,551028469,Micah McFadden,5,0,1846,10,10,15.00,1,2,0,0,0,0,1.00,0,0,13.00
Buccaneers,TB,5,MLB,551027330,Divine Deablo,6,0,1329,5,9,14.00,4,4,0,0,0,0,0.00,0,0,14.00
Buccaneers,TB,5,RE,551028752,Joseph Ossai,6,0,1190,91,10,23.00,1,1,0,0,0,0,2.50,0,0,18.00
Buccaneers,TB,5,FS,551028564,Tre'von Moehrig,6,0,1212,7,11,53.00,9,3,0,0,4,110,0.00,0,1,35.00
Buccaneers,TB,5,CB,551027107,Tyson Campbell,6,0,1355,22,11,34.00,9,3,0,0,1,13,0.00,0,0,31.00
Buccaneers,TB,5,CB,551029530,Denzel Ward,9,0,9100,4,13,42.00,15,5,0,0,1,79,0.00,0,1,33.00
Buccaneers,TB,5,CB,551028099,Taron Johnson,9,0,8949,44,7,9.00,2,0,0,0,0,0,0.00,0,0,9.00
